affinity of the separation condition in delta: max residual 2.15e-14 -> HOLDS
  eps 0.16, i_max None, R 1.5
    ('ag', 0.15, 0.0)            covers |delta| <= 0.000
    ('ag', 0.15, 0.5)            covers |delta| <= 0.735
    ('ag', 0.15, 1.0)            covers |delta| <= 2.239
    ('ag', 0.35, 0.0)            covers |delta| <= 0.000
    ('ag', 0.35, 0.5)            covers |delta| <= 0.730
    ('ag', 0.35, 1.0)            covers |delta| <= 2.242
    ('ag', 0.55, 0.0)            covers |delta| <= 0.000
    ('ag', 0.55, 0.5)            covers |delta| <= 0.743
    ('ag', 0.55, 1.0)            covers |delta| <= 2.230
    ('ag', 0.75, 0.0)            covers |delta| <= 0.000
    ('ag', 0.75, 0.5)            covers |delta| <= 0.755
    ('ag', 0.75, 1.0)            covers |delta| <= 2.207
    ('ag', 0.95, 0.0)            covers |delta| <= 0.000
    ('ag', 0.95, 0.5)            covers |delta| <= 0.765
    ('ag', 0.95, 1.0)            covers |delta| <= 2.175
    ('ab', 0.15, 0.0)            covers |delta| <= 0.000
    ('ab', 0.15, 0.5)            covers |delta| <= 0.000
    ('ab', 0.15, 1.0)            covers |delta| <= 0.000
    ('ab', 0.35, 0.0)            covers |delta| <= 0.000
    ('ab', 0.35, 0.5)            covers |delta| <= 0.000
    ('ab', 0.35, 1.0)            covers |delta| <= 0.068
    ('ab', 0.55, 0.0)            covers |delta| <= 0.000
    ('ab', 0.55, 0.5)            covers |delta| <= 0.000
    ('ab', 0.55, 1.0)            covers |delta| <= 0.129
    ('ab', 0.75, 0.0)            covers |delta| <= 0.000
    ('ab', 0.75, 0.5)            covers |delta| <= 0.000
    ('ab', 0.75, 1.0)            covers |delta| <= 0.180
    ('ab', 0.95, 0.0)            covers |delta| <= 0.000
    ('ab', 0.95, 0.5)            covers |delta| <= 0.000
    ('ab', 0.95, 1.0)            covers |delta| <= 0.230
  -> certified=True covered_radius=2.2419273578241308
  eps 0.16, i_max 1.2, R 1.5
  -> certified=None covered_radius=None
